C,E
13,619
0,0
6,155
0,27
9,239
16,415
6,186
7,177
28,325
10,93
8,130
0,0
4,53
4,16
0,0
0,0
16,1255
2,22
16,456
0,0
5,30
3,21
7,282
16,803
0,0
0,0
7,148
0,0
11,112
6,35
30,1588
8,287
0,0
0,0
0,0
13,275
2,14
12,501
12,276
8,320
10,305
4,6
8,198
13,530
24,1021
8,274
11,178
8,134
0,0
6,107
11,100
0,3
10,166
7,422
18,553
0,0
8,110
2,29
17,0
7,161
11,157
1,10
0,0
32,646
0,0
8,293
14,45
8,391
12,387
18,517
3,24
8,187
3,40
7,125
4,24
5,111
0,0
14,393
10,234
0,0
6,26
0,0
4,19
9,198
8,152
8,174
6,270
0,0
3,100
0,0
1,21
17,854
24,881
17,425
6,56
22,609
8,313
11,319
23,648
24,645
8,240
8,294
6,75
8,166
4,30
10,198
3,52
7,177
1,12
3,38
8,305
25,701
32,2385
12,932
10,421
3,29
22,698
0,195
8,288
0,0
8,243
24,976
28,1693
8,235
8,45
0,0
24,1218
8,94
0,0
0,0
5,48
0,0
8,162
8,138
8,84
8,0
12,237
3,91
22,1017
29,1430
16,931
7,38
8,313
25,1032
5,35
12,561
3,20
7,139
8,289
9,174
0,0
6,107
18,726
16,573
5,86
2,12
3,38
8,204
0,0
6,35
2,28
2,10
27,926
15,425
6,151
2,38
6,135
8,65
4,38
0,0
10,52
20,1419
5,66
22,481
8,204
0,0
0,0
8,69
4,15
3,14
3,39
7,61
0,0
25,585
23,1244
17,861
2,31
1,4
0,0
0,56
18,0
1,20
8,177
8,67
1,14
21,1324
9,86
8,452
4,18
7,70
9,62
0,0
16,769
23,428
4,21
20,595
0,0
2,13
3,34
8,262
27,2047
6,105
0,0
2,31
5,12
6,42
3,20
10,254
8,89
8,97
24,1437
6,13
5,17
14,413
0,0
16,700
0,0
4,78
3,34
5,16
16,282
8,262
8,127
27,1402
29,807
6,95
16,244
10,269
8,120
3,29
0,0
0,0
18,1017
7,172
17,268
18,561
10,80
2,21
1,6
1,22
24,472
10,283
4,0
6,34
8,144
25,285
0,0
8,54
9,263
15,615
17,1060
11,146
24,1554
8,138
2,13
5,44
13,278
24,1136
6,124
1,5
5,61
0,0
7,119
20,354
8,129
9,58
2,10
3,31
8,410
12,104
19,755
29,1101
10,200
0,0
0,0
4,107
8,236
0,0
12,139
4,83
15,329
0,0
16,450
29,1320
1,8
8,324
8,216
5,20
16,805
31,462
4,18
3,106
15,288
33,2545
24,1180
18,332
9,42
24,1192
8,291
8,54
16,364
8,29
13,369
4,71
12,221
11,181
0,0
9,94
0,0
2,39
24,1397
9,221
4,61
8,195
8,400
20,286
27,1223
7,751
4,10
6,69
6,124
11,251
0,0
5,189
8,286
11,192
6,123
0,0
10,399
10,302
8,181
10,49
8,178
8,234
0,0
30,2708
18,288
17,406
8,158
27,980
7,151
8,273
1,20
28,1668
9,56
16,729
1,6
0,0
16,531
8,235
8,265
8,321
3,39
24,903
6,207
0,0
11,246
7,75
16,1254
8,160
7,81
4,28
0,0
0,0
27,875
0,0
16,880
8,274
7,70
28,531
6,36
0,0
12,321
7,38
13,542
0,0
4,30
0,0
2,9
8,203
34,651
6,444
2,9
16,540
0,0
24,1202
0,0
3,18
10,118
30,1599
0,0
1,23
1,10
4,0
12,468
0,0
7,93
4,9
8,272
24,1278
6,100
0,0
4,72
0,0
4,69
7,151
0,0
4,67
5,47
