0,1,2
208,7,18.9
86,4,17.2
22,2,11.0
735,14,73.5
235,7,33.6
18,0,6.0
102,0,11.3
612,12,47.1
213,8,26.6
562,43,9.4
326,10,32.6
373,10,18.7
74,7,37.0
47,3,47.0
715,8,47.7
550,16,55.0
111,5,18.5
60,6,8.6
92,7,13.1
49,3,16.3
170,9,17.0
1261,24,50.4
149,8,12.4
3,4,1.0
8,4,2.0
97,13,12.1
183,8,13.1
1397,23,46.6
67,4,16.8
630,24,27.4
109,8,5.0
5,1,5.0
122,8,5.5
96,8,12.0
7,1,3.5
186,0,23.3
122,5,24.4
585,16,16.3
72,8,10.3
109,7,15.6
8,3,2.7
332,22,11.1
98,7,12.3
665,24,39.1
185,8,16.8
399,7,57.0
7,5,1.8
209,10,16.1
23,2,11.5
844,16,44.4
109,7,18.2
39,6,5.6
43,6,6.1
13,11,0.8
80,15,6.7
68,6,9.7
195,12,13.9
35,0,11.7
10,1,5.0
722,24,30.1
391,9,35.5
99,14,24.8
1096,25,45.7
282,9,28.2
239,8,26.6
282,8,25.6
1170,24,41.8
1068,24,56.2
156,8,12.0
152,28,4.8
479,8,47.9
80,5,2.3
19,0,9.5
607,13,33.7
55,1,13.8
9,8,1.3
29,5,4.8
80,6,13.3
533,26,35.5
227,8,28.4
214,7,23.8
68,4,9.7
30,3,10.0
290,9,26.4
525,21,23.9
232,9,14.5
447,17,26.3
198,11,24.8
11,1,2.8
22,3,1.8
386,0,9.4
54,2,27.0
158,0,22.6
47,7,6.7
835,22,49.1
39,4,9.8
53,4,10.6
321,16,20.1
26,4,6.5
812,20,45.1
109,4,21.8
233,10,16.6
221,9,20.1
13,3,4.3
591,19,26.9
288,8,19.2
848,17,38.5
159,10,14.5
29,3,29.0
48,4,12.0
446,12,34.3
1255,40,19.0
136,7,11.3
121,8,8.6
429,8,53.6
25,3,4.2
89,10,7.4
1017,27,42.4
44,6,5.5
498,27,20.8
85,12,7.7
29,6,3.2
1584,27,58.7
919,19,51.1
209,8,23.2
15,3,5.0
198,7,22.0
63,8,7.9
278,2,21.4
222,9,31.7
165,8,20.6
18,3,6.0
40,3,8.0
1824,28,53.6
310,9,16.3
23,5,7.7
175,8,15.9
9,1,9.0
90,4,18.0
1614,23,55.7
74,7,9.3
1216,17,52.9
4,2,2.0
2055,26,58.7
197,12,13.1
732,21,28.2
37,8,7.4
323,11,24.8
82,9,0.0
366,17,16.6
45,5,9.0
373,9,24.9
162,4,40.5
1677,40,28.9
502,8,41.8
188,20,20.9
133,11,9.5
485,16,20.2
420,13,20.0
232,8,19.3
256,8,28.4
37,6,9.3
42,4,14.0
209,8,19.0
2317,29,52.7
396,19,23.3
57,5,11.4
78,7,9.8
425,24,25.0
122,10,12.2
191,8,21.2
110,7,10.0
62,9,6.2
17,1,17.0
138,10,15.3
71,5,14.2
11,1,5.5
528,19,26.4
51,3,25.5
10,6,2.5
862,19,35.9
512,17,30.1
392,11,32.7
410,13,34.2
158,8,17.6
61,7,8.7
72,8,5.5
428,10,25.2
11,5,11.0
1213,24,48.5
122,2,17.4
282,7,40.3
364,10,24.3
4,1,4.0
520,16,52.0
40,9,4.0
10,5,5.0
30,8,6.0
31,0,5.2
45,8,11.3
48,3,16.0
98,7,10.9
24,5,6.0
206,7,25.8
297,15,18.6
196,7,32.7
1396,16,60.7
1035,17,49.3
9,4,4.5
75,5,18.8
19,3,9.5
40,6,5.7
355,8,29.6
268,18,14.9
190,8,23.8
137,9,17.1
777,32,17.7
217,7,10.9
241,17,24.1
144,7,14.4
197,8,21.9
472,13,31.5
7,1,7.0
1487,34,41.3
199,8,28.4
371,13,23.2
64,8,4.9
263,11,20.2
112,8,56.0
177,16,14.8
1993,30,55.4
1463,24,50.4
223,11,17.2
1049,28,29.1
98,5,0.0
256,13,28.4
54,7,7.7
52,2,26.0
69,8,7.7
115,5,19.2
14,5,2.8
137,15,5.1
419,17,22.1
205,8,25.6
448,12,29.9
338,12,28.2
118,10,10.7
69,6,17.3
580,23,19.3
1405,37,34.3
656,10,50.5
86,4,10.8
72,5,9.0
358,16,27.5
128,5,21.3
142,11,7.5
619,13,56.3
155,6,31.0
27,0,9.0
239,9,23.9
415,16,16.0
186,6,13.3
177,7,14.8
325,28,7.2
93,10,10.3
130,8,13.0
53,4,10.6
16,4,4.0
1255,16,52.3
22,2,7.3
456,16,38.0
30,5,3.0
21,3,10.5
282,7,28.2
803,16,40.2
148,7,16.4
112,11,11.2
35,6,5.8
1588,30,34.5
287,8,47.8
275,13,22.9
14,2,4.7
501,12,33.4
276,12,19.7
320,8,35.6
305,10,15.3
6,4,2.0
198,8,18.0
530,13,35.3
1021,24,34.0
274,8,17.1
178,11,14.8
134,8,16.8
107,6,17.8
100,11,7.7
3,0,1.5
166,10,18.4
422,7,52.8
553,18,25.1
110,8,22.0
29,2,9.7
161,7,17.9
157,11,13.1
10,1,5.0
646,32,38.0
293,8,26.6
45,14,3.5
391,8,32.6
387,12,22.8
517,18,28.7
24,3,6.0
187,8,20.8
40,3,13.3
125,7,11.4
24,4,4.8
111,5,22.2
393,14,24.6
234,10,26.0
26,6,3.3
19,4,4.8
198,9,16.5
152,8,15.2
174,8,24.9
270,6,24.5
100,3,14.3
21,1,10.5
854,17,40.7
881,24,35.2
425,17,0.0
56,6,9.3
609,22,29.0
313,8,26.1
319,11,26.6
648,23,32.4
645,24,35.8
240,8,30.0
294,8,26.7
75,6,7.5
166,8,18.4
30,4,7.5
198,10,19.8
52,3,17.3
177,7,17.7
12,1,12.0
38,3,5.4
305,8,38.1
701,25,50.1
2385,32,72.3
932,12,40.5
421,10,26.3
29,3,9.7
698,22,30.3
195,0,27.9
288,8,41.1
243,8,20.3
976,24,37.5
1693,28,44.6
235,8,19.6
45,8,11.3
1218,24,60.9
94,8,18.8
48,5,16.0
162,8,16.2
138,8,13.8
84,8,10.5
237,12,13.2
91,3,22.8
1017,22,44.2
1430,29,38.6
931,16,54.8
38,7,6.3
313,8,39.1
1032,25,43.0
35,5,8.8
561,12,56.1
20,3,5.0
139,7,12.6
289,8,32.1
174,9,19.3
107,6,11.9
726,18,48.4
573,16,31.8
86,5,17.2
12,2,6.0
38,3,7.6
204,8,17.0
35,6,5.8
28,2,9.3
10,2,5.0
926,27,30.9
425,15,42.5
151,6,25.2
38,2,19.0
135,6,0.0
65,8,16.3
38,4,5.4
52,10,0.0
1419,20,59.1
66,5,13.2
481,22,32.1
204,8,13.6
69,8,4.9
15,4,5.0
14,3,7.0
39,3,13.0
61,7,8.7
585,25,39.0
1244,23,51.8
861,17,47.8
31,2,10.3
4,1,2.0
56,0,9.3
20,1,20.0
177,8,16.1
67,8,7.4
14,1,14.0
1324,21,45.7
86,9,9.6
452,8,64.6
18,4,3.6
70,7,7.0
62,9,6.2
769,16,40.5
428,23,13.8
21,4,4.2
595,20,22.9
13,2,0.0
34,3,11.3
262,8,21.8
2047,27,56.9
105,6,17.5
31,2,15.5
12,5,2.0
42,6,14.0
20,3,10.0
254,10,19.5
89,8,11.1
97,8,12.1
1437,24,34.2
13,6,2.6
17,5,8.5
413,14,31.8
700,16,36.8
78,4,15.6
34,3,11.3
16,5,5.3
282,16,11.8
262,8,20.2
127,8,25.4
1402,27,46.7
807,29,23.7
95,6,11.9
244,16,8.7
269,10,29.9
120,8,12.0
29,3,9.7
1017,18,59.8
172,7,21.5
268,17,9.2
561,18,46.8
80,10,11.4
21,2,3.5
6,1,6.0
22,1,5.5
472,24,14.3
283,10,12.3
34,6,4.9
144,8,14.4
285,25,8.6
54,8,6.0
263,9,32.9
615,15,47.3
1060,17,44.2
146,11,9.7
1554,24,47.1
138,8,15.3
13,2,6.5
44,5,8.8
278,13,15.4
1136,24,42.1
124,6,20.7
5,1,5.0
61,5,8.7
119,7,14.9
354,20,35.4
129,8,16.1
58,9,8.3
10,2,0.0
31,3,10.3
410,8,41.0
104,12,11.6
755,19,41.9
1101,29,39.3
200,10,50.0
107,4,26.8
236,8,29.5
139,12,13.9
83,4,20.8
329,15,15.7
450,16,14.5
1320,29,33.8
8,1,8.0
324,8,36.0
216,8,24.0
20,5,4.0
805,16,36.6
462,31,28.9
18,4,3.0
106,3,26.5
288,15,8.7
