Product,Current Price,Originl Price,Discount,Customer Ratings,Reviewed By
"Huawei P40 Pro, 6.58"", 256GB + 8GB RAM (Dual SIM), 5G, 4200mAh, Silver Frost","KSh 110,000",NA,NA,NA,NA
"Huawei Y6p, 6.3"", 64GB + 3GB RAM (Dual SIM), 5000 MAh, Purple+FREE SELFIESTICK+RING+OTG","KSh 14,799","KSh 22,000",33%,2 out of 5,2
"Huawei Y7p, 6.39"", 64 GB + 4 GB, (Dual SIM) - Midnight Black","KSh 17,099","KSh 23,000",Official Store,NA,NA
"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Starry Black + FREE GIFTS","KSh 13,299","KSh 17,999",26%,NA,NA
"Huawei Y6p, 6.3"", 64 GB + 3 GB(Dual Sim), 5000 MAh, Midnight Black","KSh 14,750","KSh 17,500",16%,4 out of 5,2
"Huawei Y9A 6.63"", 128GB+8GB (Dual SIM) 4200 MAh - Midnight Black","KSh 29,999","KSh 38,750",Official Store,NA,NA
"Huawei Y8p, 6.3"" OLED, 128GB + 6GB(Dual SIM), Midnight Black","KSh 20,699","KSh 28,999",Official Store,NA,NA
"Huawei Y6s, 6.09"", 3GB RAM + 64GB, (Dual SIM), 4G - Blue + Free OTG Cable.","KSh 13,199","KSh 20,000",34%,5 out of 5,1
"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Orchid Blue + FREE Selfie Stick","KSh 13,199","KSh 14,499",9%,NA,NA
"Huawei Y6p,6.3"",64 GB+3 GB(Dual Sim), 5000 MAh-Black + FREE 3D PROTECTOR & SCREEN COVER","KSh 15,499","KSh 18,999",18%,NA,NA
